OBJECTID,STOPNAME,SHAPE,STOPID,STOPABBR,BENCH,SHELTER,ROUTES,COUNTY,LON,LAT
2599,US RT 13 @ OP CHESTNUT ST,"(39.29936100000003, -75.60116199999999)",3801,13CH,0,0,120,,-75601162,39299361
2600,US RT13 @ DELAWARE AVE,"(38.93271200000004, -75.56627999999995)",3757,13DA,0,0,117,,-75566280,38932712
2601,USRT13 DOVEMALL@ BACK ENT DOVECOM,"(39.19133000000005, -75.53824099999997)",3598,13DC,0,0,109,,-75538241,39191330
2602,DOVER DOWNS & ON SITE,"(39.18762400000003, -75.53347899999994)",383,13DD,0,0,"106, 109, 112",,-75533479,39187624
2603,US RT 13 & BEAVER DAM DR,"(38.655152000000044, -75.59429699999998)",2995,13DL,0,0,"212, 903",,-75594297,38655152
2604,US RT 13 & DOVER MALL ENT 1,"(39.19444100000004, -75.54136599999998)",384,13DO,0,0,"106, 108, 109, 112, 120",,-75541366,39194441
2605,US RT13 @ MARION DR,"(39.20778500000006, -75.56629999999996)",3628,13DP,0,0,120,,-75566300,39207785
2606,US RT 13 & DOVER SKATING CT,"(39.116791000000035, -75.53546299999994)",2775,13DS,0,0,"104, 303",,-75535463,39116791
2607,US RT13 @ S ERIN AVE,"(39.01225800000003, -75.56772399999994)",3755,13EA,0,0,117,,-75567724,39012258
2608,US RT13 @ EVENS RD,"(39.046309000000065, -75.55800499999998)",3752,13ED,0,0,117,,-75558005,39046309
2609,US RT 13 @ CARTER RD,"(39.279081000000076, -75.59209799999996)",3603,13EG,0,0,120,,-75592098,39279081
2610,US RT 13 & FAITH COMM CHRCH,"(39.11677700000007, -75.53598599999998)",3073,13FA,0,0,"104, 303",,-75535986,39116777
2611,US RT13 @ FAIRGROUND RD,"(38.91542000000004, -75.56932699999999)",3759,13FG,0,0,117,,-75569327,38915420
2612,US RT 13 @ LEBANON RD,"(39.11455700000005, -75.53649699999994)",2774,13FL,0,0,"104, 303",,-75536497,39114557
2613,US RT13 @ CARTER RD,"(39.28034400000007, -75.59303099999994)",3600,13GN,0,0,120,,-75593031,39280344
2614,US RT 113/SR 1 @ SPRING HILL DR,"(38.966882000000055, -75.43222499999996)",3592,13HD,0,0,303,,-75432225,38966882
2615,US RT 13 @ HEDGEGROW HOLLOW RD,"(39.27347200000003, -75.59055899999998)",3601,13HH,0,0,120,,-75590559,39273472
2616,US RT13 @ HOLIDAY INN EXPRESS HOTEL,"(38.92158000000006, -75.56729899999993)",3761,13HI,0,0,117,,-75567299,38921580
2617,US RT 13 @ HICKORY RIDGE RD,"(39.248856000000046, -75.58769699999993)",3563,13HR,0,0,120,,-75587697,39248856
2618,US RT 13 AT IRISH HILL RD,"(39.04085800000007, -75.55863799999997)",3767,13IH,0,0,117,,-75558638,39040858
2619,US RT13 @  OP JEROME DR,"(39.217381000000046, -75.57380799999999)",3811,13JD,0,1,120,,-75573808,39217381
2620,US RT 13 & JEFFERIC BLVD,"(39.17842600000006, -75.52644399999997)",2830,13JE,0,0,"106, 108, 109",,-75526444,39178426
2621,US RT 113/SR 1 OP KELLER AVE,"(38.955002000000036, -75.42654999999996)",3591,13KA,0,0,303,,-75426550,38955002
2622,US 13 & TOWNSEND BLVD,"(39.175441000000035, -75.52333299999998)",2829,13KM,1,1,"108, 109",,-75523333,39175441
2623,USRT13 @ SMITH ST,"(39.19744500000007, -75.55174799999998)",2846,13L7,0,0,112,,-75551748,39197445
2624,US RT 13 @ LAWNDALE RD,"(39.27375500000005, -75.59022299999998)",3602,13LD,0,0,120,,-75590223,39273755
2625,US RT 13 @ CAMDEN WYOMING AVE,"(39.11468300000007, -75.53705699999995)",534,13LO,0,0,104,,-75537057,39114683
2626,US RT 113 & OP MEDDS MARKET,"(39.04524500000008, -75.45732899999996)",3085,13MD,0,0,303,,-75457329,39045245
2627,US RT 113 & MEDDS MARKET,"(39.044286000000056, -75.45758099999995)",3081,13ME,0,0,303,,-75457581,39044286
2628,US RT 113 EXPRESS ONLY & MILFORD SQ,"(38.918296000000055, -75.44082899999995)",3082,13MI,1,0,303,,-75440829,38918296
2629,RT 13 @ MT VERNON ST - NB,"(39.30459700000006, -75.60536499999995)",3125,13MVN,1,1,120,,-75605365,39304597
2630,RT 13 @ MT VERNON ST - SB,"(39.303799000000026, -75.60504399999996)",3124,13MVS,1,1,120,,-75605044,39303799
2631,US RT 113 & OP GEORGETOWN PLAZA,"(38.680945000000065, -75.39481299999994)",657,13N9,0,0,"206, 902",,-75394813,38680945
2632,US RT 13 AT NATIONAL BLVD YODER OVERHEAD DOOR CO,"(38.54918300000003, -75.55663299999998)",3904,13NA,0,0,212,,-75556633,38549183
2633,US RT13 & DENNEYS RD,"(39.20289400000007, -75.55943899999994)",480,13ND,0,0,120,,-75559439,39202894
2634,US RT13 & FAST LANDING RD,"(39.22437200000007, -75.57660499999997)",481,13NF,0,0,120,,-75576605,39224372
2635,US RT 13 @ SPRING MEADOWS DR,"(39.24975500000005, -75.58701299999996)",3564,13NH,0,0,120,,-75587013,39249755
2636,US RT 13 W RUSTIC LANE,"(39.193497000000036, -75.54699299999999)",3286,13NL,0,0,"106, 109, 112, 120",,-75546993,39193497
2637,US RT 13 & NORTH DOVER CTR STAPLES,"(39.18580900000006, -75.53380999999996)",674,13NO,1,0,"106, 108, 109, 112",,-75533810,39185809
2638,US RT 113 @ SHIREYS CAR DEALERSHIP,"(38.977723000000026, -75.43732799999998)",3544,13NS,0,0,303,,-75437328,38977723
2639,US RT13 OP CRESTWOOD DR,"(39.055233000000044, -75.55628799999994)",3751,13OC,0,0,117,,-75556288,39055233
2640,US RT 113 @ OLD JENKINS RD,"(38.95032500000008, -75.42548699999998)",3543,13OJ,0,0,303,,-75425487,38950325
2641,US RT13 WALMART CHESWOLD,"(39.21598700000004, -75.57273299999997)",3635,13OP,0,1,120,,-75572733,39215987
2642,US RT 13 OP ELM ST AND THE SUNRISE MOTEL,"(38.67318700000004, -75.59220499999998)",3501,13OS,0,0,212,,-75592205,38673187
2643,US RT 113 & THE PLAZA @ MILF,"(38.91811300000006, -75.44040699999994)",3084,13PL,0,0,303,,-75440407,38918113
2644,US RT 13 @ POSITIVE OUTCOMES SCH,"(39.108062000000075, -75.53938599999998)",3274,13PO,0,0,104,,-75539386,39108062
2645,US RT13 @ PINEWOOD ACRES,"(39.21201000000008, -75.57138499999996)",3634,13PW,0,0,120,,-75571385,39212010
2646,US RT13 @ REDNERS MARKET,"(39.20945100000006, -75.56924799999996)",3743,13RM,0,0,120,,-75569248,39209451
2647,US RT 13 & RUSTIC LN,"(39.194326000000046, -75.54740999999996)",2845,13RU,0,0,"106, 112, 120",,-75547410,39194326
2648,US RT 113 @ SUPER 8 MOTEL,"(38.94927700000005, -75.42591799999997)",3542,13S8,0,0,303,,-75425918,38949277
2649,US RT 113 & GEORGETOWN PLAZA SC,"(38.68024500000007, -75.39485199999996)",640,13S9,0,0,"206, 901, 902",,-75394852,38680245
2650,US RT13 @ SHAW AVE,"(38.92820900000004, -75.56713199999996)",3758,13SA,0,0,117,,-75567132,38928209
2651,US RT 13 & DENNEYS RD,"(39.20136400000007, -75.55793599999998)",478,13SD,1,1,"112, 120",,-75557936,39201364
2652,SEAFORD VILLAGE SC DIALYSIS CENTER,"(38.65726500000005, -75.59596499999998)",2972,13SE,0,0,"212, 903",,-75595965,38657265
2653,US RT13 & FAST LANDING RD,"(39.22308400000003, -75.57648599999999)",477,13SF,0,0,120,,-75576486,39223084
2654,US RT 13 & SHAMROCK AVE,"(39.119215000000054, -75.53427799999997)",2776,13SH,0,0,104,,-75534278,39119215
2655,US RT 13 & OP SHAMROCK AVE,"(39.119868000000054, -75.53454299999999)",2998,13SK,0,0,104,,-75534543,39119868
2656,US RT 13 @ ENTR SUNRISE MOTEL,"(38.67295100000007, -75.59267099999994)",3500,13SM,0,0,212,,-75592671,38672951
2657,SEAFORD RD AT SKATE WORLD,"(38.59378000000004, -75.58886999999999)",3548,13SN,0,0,212,,-75588870,38593780
2658,US 13A & SUSSEX MANOR TP,"(38.61114500000008, -75.59750699999995)",2979,13SU,0,0,212,,-75597507,38611145
2659,SEAFORD VILLAGE SC ROSES/DOLLAR STORE,"(38.66042300000004, -75.59615899999994)",461,13SV,0,0,"212, 903",,-75596159,38660423
2660,US RT 13A OP SKATE WORLD,"(38.593994000000066, -75.58922999999999)",3547,13SW,0,0,212,,-75589230,38593994
2661,SEAFORD RD OP SUSSEX MANOR MHP,"(38.611387000000036, -75.59752099999997)",2990,13SX,0,0,212,,-75597521,38611387
2662,US RT 13 OPP RUBEON MAY DR,"(39.034417000000076, -75.56057199999998)",3766,13TA,0,0,117,,-75560572,39034417
2663,US RT 13 AT TRUSSUM POND RD JOHNNY JANOSIK,"(38.54932700000006, -75.55615899999998)",3905,13TR,0,0,212,,-75556159,38549327
2664,US 13 AT KILLENS POND RD,"(38.985600000000034, -75.56725199999994)",3765,13TW,0,0,117,,-75567252,38985600
2665,US RT13 @ REEVES CROSSING RD,"(38.983962000000076, -75.56750099999994)",3756,13UW,0,0,117,,-75567501,38983962
2666,US RT 13 @ VOSHELLS MILL RD,"(39.10429700000003, -75.54129099999994)",3408,13VM,0,0,104,,-75541291,39104297
2667,US RT 13 AT WAL-MART-ON SITE,"(38.661591000000044, -75.59088599999995)",460,13WA,0,0,"212, 903",,-75590886,38661591
2668,US RT 13 & WEBBS LN,"(39.13388200000003, -75.52795299999997)",3093,13WB,0,0,303,,-75527953,39133882
2669,US RT 13 & WEBBS LN,"(39.13130300000006, -75.52865799999995)",3072,13WE,0,0,303,,-75528658,39131303
2670,US RT13 AT KW BLVD NEAR SAMS CLUB,"(39.19636500000007, -75.55094399999996)",673,13WM,1,1,"106, 109, 112, 120",,-75550944,39196365
2671,US RT13 @ OLD NEW RD/WILLIS TIRES,"(39.03049800000008, -75.56223599999998)",3754,13WT,0,0,117,,-75562236,39030498
2672,CLAYMONT ST @ 15TH ST,"(39.74416100000008, -75.53177999999997)",1335,14CL,0,0,9,,-75531780,39744161
2673,DEL RT 16 OP CHURCH OF JCAF,"(38.79190500000004, -75.37588399999999)",3395,16AE,0,0,303,,-75375884,38791905
2674,DEL RT 16 @ CHURCH OF JCAF,"(38.79202600000008, -75.37583399999994)",3394,16AF,0,0,303,,-75375834,38792026
2675,DEL RT 16 & ELLEGOOD AVE,"(38.80692800000003, -75.42740599999996)",2956,16EG,1,0,303,,-75427406,38806928
2676,DEL RT 16 & OP ELLEGOOD AVE,"(38.807034000000044, -75.42721299999994)",2931,16EL,0,0,303,,-75427213,38807034
2677,16TH ST & JESSUP ST,"(39.74832100000003, -75.53894799999995)",913,16JE,0,0,14,,-75538948,39748321
2678,DEL RT 16 & MULBERRY ST,"(38.787702000000024, -75.31911899999994)",2958,16MB,0,0,303,,-75319119,38787702
2679,DEL RT 16 & MCCAULLY AVE,"(38.80706900000007, -75.42480999999998)",2930,16MC,0,0,303,,-75424810,38807069
2680,DEL RT 16 & MULBERRY ST,"(38.78787300000005, -75.31920199999996)",2929,16MU,0,0,303,,-75319202,38787873
2681,DEL RT 16 & MCCAULLY AVE,"(38.806993000000034, -75.42466799999994)",2957,16MY,0,0,303,,-75424668,38806993
2682,DEL RT 16 @ PONDER AVE EB,"(38.80708600000003, -75.42008999999996)",3534,16PE,0,0,303,,-75420090,38807086
2683,DEL RT 16 @ PONDER AVE WB,"(38.80717400000003, -75.42021599999998)",3854,16PW,0,0,303,,-75420216,38807174
2684,16TH ST & WALNUT ST,"(39.748973000000035, -75.54181299999993)",949,16WA,0,0,14,,-75541813,39748973
2685,17TH ST & BANCROFT PKWY,"(39.76078300000006, -75.56774799999994)",1400,170B,0,0,10,,-75567748,39760783
2686,17TH ST & GREENHILL AVE,"(39.762744000000055, -75.57280999999995)",1403,17WG,0,0,10,,-75572810,39762744
2687,17TH ST & MT SALEM LN,"(39.76379500000007, -75.57535799999994)",1405,17WM,0,0,10,,-75575358,39763795
2688,17TH ST & RIVERVIEW AVE,"(39.76204800000005, -75.57095799999996)",1402,17WR,0,0,10,,-75570958,39762048
2689,17TH ST & TOWER RD,"(39.764380000000074, -75.57666599999999)",1406,17WT,0,0,10,,-75576666,39764380
2690,17TH ST & WOODLAWN AVE,"(39.76133200000004, -75.56908499999997)",1401,17WW,0,0,10,,-75569085,39761332
2691,18TH ST & BAYNARD BLVD,"(39.75534900000008, -75.54692699999998)",897,18BA,1,1,"2, 18, 35",,-75546927,39755349
2692,SR18/404 OP FD LN BRVILL PARK SC,"(38.72029800000007, -75.58521699999994)",3392,18BP,0,0,212,,-75585217,38720298
2693,SR18/404 AT BRIDGEVILLE PARK SC,"(38.719831000000056, -75.58494199999996)",3393,18BW,0,0,212,,-75584942,38719831
2694,18TH ST & BAYNARD BLVD,"(39.755265000000065, -75.54668899999996)",843,18BY,0,0,"2, 18, 35",,-75546689,39755265
2695,SR 18/404 OPP WALKERS MILL RD,"(38.707730000000026, -75.55275499999993)",3303,18EW,0,0,212,,-75552755,38707730
2696,18TH ST & BROOM ST,"(39.75967200000008, -75.55019799999997)",71,18SB,1,1,"2, 18, 35",,-75550198,39759672
2697,18TH ST & VAN BUREN ST,"(39.75726000000003, -75.54834399999999)",895,18VA,1,0,"2, 18, 35",,-75548344,39757260
2698,18TH ST & WARNER SCHOOL,"(39.75822800000003, -75.54883299999995)",845,18WA,0,0,"2, 18, 35",,-75548833,39758228
2699,SR18/404 @ WALKERS MILL RD,"(38.70789600000006, -75.55224399999997)",3304,18WW,0,0,212,,-75552244,38707896
2700,19TH ST & MT SALEM LN,"(39.765063000000055, -75.57455699999997)",1461,19ES,0,0,10,,-75574557,39765063
2701,19TH ST & TOWER ST,"(39.765595000000076, -75.57579699999997)",1460,19ET,0,0,10,,-75575797,39765595
2702,DEL RT 1 & CVS PHARMACY,"(38.71524000000005, -75.10742099999999)",412,1AME,0,0,"203, 206, 207, 215",,-75107421,38715240
2703,DEL RT 1 & CAMELOT DR (ECONO LODGE),"(38.71999600000004, -75.11808199999996)",420,1CAH,0,0,"201, 203, 206, 207, 215",,-75118082,38719996
2704,DEL RT 1 @ COMMUNITY BANK,"(38.743569000000036, -75.15121099999999)",3739,1CBK,0,0,"201, 203, 206",,-75151211,38743569
2705,DEL RT 1 @ COMFORT INN,"(38.725397000000044, -75.12607399999996)",3295,1COM,0,0,"201, 203, 206, 207",,-75126074,38725397
2706,DE RT 1 OP OLD LANDING RD,"(38.727674000000036, -75.12835899999999)",3939,1FAI,1,1,"201, 203, 206, 207, 215",,-75128359,38727674
2707,DEL RT 1 & KMART,"(38.71957800000007, -75.11632699999996)",413,1KMA,0,0,"201, 203, 207, 215",,-75116327,38719578
2708,DEL RT 1 @ MIDWAY GALLERIA,"(38.73515400000008, -75.13851699999998)",3290,1LAM,0,0,"201, 203, 206, 215",,-75138517,38735154
2709,DE RT 1 @ LIGHTHOUSE PLAZA,"(38.72185900000005, -75.12080799999995)",3252,1LIT,1,1,"201, 203, 206, 207, 215",,-75120808,38721859
2710,DEL RT 1 & REHOB MALL,"(38.729107000000056, -75.13079299999998)",417,1MAL,0,1,"201, 203, 206, 207, 215",,-75130793,38729107
2711,DEL RT 1 & THE MARKET PL(SEA SHELL,"(38.72240800000003, -75.12229699999995)",418,1MAP,0,0,"201, 203, 206, 207",,-75122297,38722408
2712,DEL RT 1 @ HAMPTON INN,"(38.73250900000005, -75.13520899999997)",3294,1MCD,0,0,"201, 203, 206, 215",,-75135209,38732509
2713,DEL RT 1 & TANGER OUTLET BAYSIDE,"(38.71549300000004, -75.10902899999996)",422,1OOB,1,1,"201, 203, 206, 207, 215, 305",,-75109029,38715493
2714,DEL RT 1 @ PALMS AT REHOBOTH,"(38.718296000000066, -75.11463699999996)",3475,1PAR,0,0,"201, 203, 206, 207, 215",,-75114637,38718296
2715,DEL RT 1 AT PELICAN SQUARE SC,"(38.73730900000004, -75.14239599999996)",3837,1PEL,0,0,"201, 203, 206, 215",,-75142396,38737309
2716,DEL RT 1 & OP REHO MALL,"(38.729228000000035, -75.13030099999997)",423,1REM,0,1,"201, 203, 206, 207, 215",,-75130301,38729228
2717,DEL RT 1 & TANGER OUTLET SURFSIDE,"(38.735685000000046, -75.14008099999995)",416,1ROC,1,1,"201, 203, 206, 215, 305",,-75140081,38735685
2718,DEL RT 1 @ SAVANNAH WEST APTS,"(38.74581000000006, -75.15529899999996)",3292,1SAV,0,0,"201, 203, 206",,-75155299,38745810
2719,DEL RT 1 & MUNCHY BRANCH RD,"(38.724604000000056, -75.12439399999994)",2916,1SHA,0,0,"201, 203, 206, 207, 215",,-75124394,38724604
2720,DEL RT 1 @ TENLY CT,"(38.742638000000056, -75.15052799999995)",3293,1TEN,0,0,"201, 203, 206",,-75150528,38742638
2721,2ND ST & FRANKLIN ST,"(39.74398600000006, -75.56499399999996)",1349,20FR,0,0,"9, 18",,-75564994,39743986
2722,DEL RT 24 @ DEL RT 23,"(38.637181000000055, -75.19378499999993)",3654,2423,0,0,"207, 215",,-75193785,38637181
2723,DEL RT 24 & OP HOLLY LAKE,"(38.65788300000003, -75.18922099999997)",664,24HL,0,0,"207, 215",,-75189221,38657883
2724,DEL RT 24 & LOVE CRK MARINA,"(38.70211500000005, -75.16374599999995)",665,24LC,0,0,"207, 215",,-75163746,38702115
2725,DEL RT 24 & OP LOVE CRK MARI,"(38.70456800000005, -75.16033899999996)",660,24LO,0,0,"207, 215",,-75160339,38704568
2726,DEL RT 24 @ ENT BEEBE MEDICAL CTR,"(38.72683500000005, -75.13903899999997)",3539,24NB,0,0,"207, 215",,-75139039,38726835
2727,DEL RT 24 @ THE EYE INSTITUTE,"(38.729099000000076, -75.13649399999997)",3540,24NE,0,0,"207, 215",,-75136494,38729099
2728,DEL RT 24 & OP NANTICOKE CR,"(38.63683000000003, -75.19371599999994)",447,24ON,0,0,"207, 215",,-75193716,38636830
2729,DEL RT 24 & PEDDLERS VILLAGE,"(38.699212000000045, -75.17062399999998)",442,24PE,0,0,"207, 215",,-75170624,38699212
2730,DEL RT 24 OP BEEBE MEDICAL CTR,"(38.72695600000003, -75.13924699999995)",3538,24SB,0,0,"207, 215",,-75139247,38726956
2731,DEL RT 24 OP THE EYE INSTITUTE,"(38.729179000000045, -75.13683299999997)",3537,24SE,0,0,"207, 215",,-75136833,38729179
2732,26TH ST & LOCUST ST,"(39.75103500000006, -75.53052999999994)",919,260L,0,0,14,,-75530530,39751035
2733,26TH ST & PINE ST,"(39.75256500000006, -75.53299099999998)",917,260P,0,0,14,,-75532991,39752565
2734,26TH ST & HEALD ST,"(39.74979900000005, -75.52847299999996)",941,26HE,0,0,14,,-75528473,39749799
2735,26TH ST & JESSUP ST,"(39.75333800000004, -75.53403799999995)",82,26JE,0,0,14,,-75534038,39753338
2736,26TH ST & LOCUST ST,"(39.75095700000003, -75.53029999999995)",942,26LO,0,0,14,,-75530300,39750957
2737,26TH ST & NORTHEAST BLVD,"(39.74951200000004, -75.52813699999996)",921,26NO,0,0,14,,-75528137,39749512
2738,26TH ST & PINE ST,"(39.75275000000005, -75.53312099999994)",944,26PI,0,0,14,,-75533121,39752750
2739,26TH ST & THATCHER ST,"(39.750222000000065, -75.52924599999994)",920,26TH,0,0,14,,-75529246,39750222
2740,SR 299 @ MIDDLETOWN HIGH SCHOOL,"(39.45178800000008, -75.69037999999995)",3126,299E,0,0,43,,-75690380,39451788
2741,SR 299 @ DOVE RUN BLVD,"(39.452169000000026, -75.68936799999994)",3127,299W,0,0,43,,-75689368,39452169
2742,2ND ST & ADAMS ST,"(39.742135000000076, -75.56057199999998)",1347,2WAD,0,0,"9, 18",,-75560572,39742135
2743,2ND ST & BROOM ST,"(39.74466700000005, -75.56680999999998)",1926,2WBR,0,0,18,,-75566810,39744667
2744,2ND ST & FRENCH ST,"(39.73815500000006, -75.55064799999997)",1857,2WFR,0,0,"7, 11, 47",,-75550648,39738155
2745,2ND ST & KING ST,"(39.738751000000036, -75.55208499999998)",1342,2WKI,0,0,"7, 9, 11, 18",,-75552085,39738751
2746,2ND ST & LINCOLN ST,"(39.74711300000007, -75.57281199999994)",1929,2WLI,0,0,18,,-75572812,39747113
2747,2ND ST & MADISON ST,"(39.741273000000035, -75.55840099999995)",1346,2WMA,0,0,"7, 9, 18",,-75558401,39741273
2748,2ND ST AT N. DUPONT ST,"(39.74613300000004, -75.57024799999994)",3938,2WND,0,0,18,,-75570248,39746133
2749,2ND ST & ORANGE ST,"(39.73922200000004, -75.55326399999996)",1344,2WOR,0,0,"7, 9, 11, 18",,-75553264,39739222
2750,2ND ST & VAN BUREN ST,"(39.74308400000007, -75.56283999999994)",1348,2WVA,0,0,"9, 18",,-75562840,39743084
2751,2ND ST & WEST ST,"(39.740192000000036, -75.55579999999998)",1345,2WWA,0,0,"7, 9, 18",,-75555800,39740192
2752,CLAYMONT TRAIN STATION @ ON-SITE,"(39.798261000000025, -75.45180999999997)",48,3262,1,1,"31, 61",,-75451810,39798261
2753,PRICES CORNER & P-N-R FRONT,"(39.73629100000005, -75.62174399999998)",105,3264,1,1,"4, 6, 9",,-75621744,39736291
2754,US RT 40 @ BELLWOODE DR,"(39.60616600000003, -75.73610899999994)",3235,40BD,0,0,40,,-75736109,39606166
2755,US RT 40 & BECKS WOODS DR,"(39.615477000000055, -75.70008899999993)",2554,40BE,0,0,"40, 64",,-75700089,39615477
2756,US RT 40 & OP BUCKLEY BLVD,"(39.64047700000003, -75.64726399999995)",324,40BK,0,0,54,,-75647264,39640477
2757,US RT40 & OP BROOKMONT DR,"(39.62132200000008, -75.68694899999997)",318,40BM,1,1,"40, 64",,-75686949,39621322
2758,US RT40 & BROOKMONT DR,"(39.621571000000074, -75.68749599999995)",308,40BR,0,0,"40, 64",,-75687496,39621571
2759,US RT40 & BUCKLEY BLVD,"(39.64030800000006, -75.64683899999994)",322,40BU,1,1,54,,-75646839,39640308
2760,US RT 40 & OP BECKS WOODS,"(39.614810000000034, -75.70022799999998)",2559,40BW,0,0,"40, 64",,-75700228,39614810
2761,US RT 40 & CHURCH RD,"(39.62275900000003, -75.68304599999993)",2560,40CH,0,0,"40, 64",,-75683046,39622759
2762,US RT40 @ DEER PARK PLAZA,"(39.60403400000007, -75.75576699999993)",3333,40DP,0,0,46,,-75755767,39604034
2763,US RT 40 @ AIKEN AVE,"(39.606801000000075, -75.72934499999997)",3471,40EA,0,0,40,,-75729345,39606801
